,index,name,rate
0,0,rhaeredekop from Winnipeg,5.0
1,0,lizgoldsmith1960 from Lincoln,5.0
2,0,bmaybeegeorge from Canada,5.0
3,0,adventurousz from Boulder,3.0
4,0,epaul77 from Mississippi,5.0
5,0,lizzydlangley from St Louis,5.0
6,0,Jweyant from Maine,5.0
7,0,tjsnuffin from Cincinnati,5.0
8,0,sarahglittle7930 from Denver,5.0
9,0,wendymochi from Torrance,5.0
10,0,ayydre from California,4.0
11,0,susanweiss from Rockville,5.0
12,0,silvia_v from Belmont,5.0
13,0,Tejanacooks from Texas,3.0
14,0,kevinj308,5.0
15,0,cellocath85 from Maryland,5.0
16,0,mvross from Texas,5.0
17,0,lhdowney from Charlotte,5.0
18,0,jsbjk from Winnetka,4.0
19,0,karen8221 from Westchester County,5.0
20,0,idesalos from Houston,5.0
21,1,ilyssa2 from NY,5.0
22,1,dory92064 from San Diego,5.0
23,1,travel80 from Winnipeg,4.0
24,1,amyhenriott,3.0
25,1,mhaas12 from Philadelphia,5.0
26,2,mtnmeye,3.0
27,2,greensteinrebecca9820 from NY,5.0
28,2,mmtomd from Chicago IL,2.0
29,2,fkirby from Santa Fe,1.0
30,2,nkbrooks from Ottawa,5.0
31,2,nkbrooks from Ottawa,5.0
32,2,denisetherealtor from Carterville,2.0
33,2,meghanpholmes from Chanhassen MN,3.0
34,2,zutalors85 from nycsf,5.0
35,2,cma121680 from Westchester,2.0
36,2,Merrill from Franktown,1.0
37,2,jennympls from minneapolis,5.0
38,2,RabiaS from Philadelphia,5.0
39,2,DevilFish from Toronto,4.0
40,2,A Cook,4.0
41,2,A Cook from Chicago,1.0
42,2,A Cook from Berkeley,3.0
43,2,CraftyFarmer,5.0
44,2,Atacat from San Francisco,2.0
45,2,insearchofgoodfood from Vermont,1.0
46,3,brushjl from solon,5.0
47,3,tatyana_poirier from Montreal,5.0
48,3,auntwebbie from Allen,5.0
49,4,auntwebbie from Allen,5.0
50,4,krf from Bellevue,4.0
51,4,seanrandall from Atlanta,2.0
52,5,jrnalls from Richton Park,4.0
53,5,nicolewatkins from Halifax,5.0
